Datum;Konto;Typ av transaktion;Värdepapper/beskrivning;Antal;Kurs;Belopp;Transaktionsvaluta;Courtage;Valutakurs;Instrumentvaluta;ISIN;Resultat
2017-02-07;Utdelningsportföljen;Sälj;STARBREEZE B;-90;16,8;1508;SEK;4;;SEK;SE0005992831;
2017-02-07;Utdelningsportföljen;Sälj;SECURITAS B;-10;131,8;1318;SEK;0;;SEK;SE0000163594;
2017-02-07;Utdelningsportföljen;Sälj;SECURITAS B;-10;134,2;1342;SEK;0;;SEK;SE0000163594;
2017-02-07;Utdelningsportföljen;Köp;SECURITAS B;10;133,2;-1332;SEK;0;;SEK;SE0000163594;
2017-02-07;Utdelningsportföljen;Köp;SECURITAS B;10;134,2;-1342;SEK;0;;SEK;SE0000163594;
2017-02-06;Utdelningsportföljen;Sälj;GRÄNGES;-18;85,75;1544;SEK;0;;SEK;SE0006288015;
2017-02-06;Utdelningsportföljen;Köp;GRÄNGES;18;84,75;-1526;SEK;0;;SEK;SE0006288015;
2017-02-06;Utdelningsportföljen;Köp;STARBREEZE B;90;17,3;-1561;SEK;4;;SEK;SE0005992831;
2017-02-06;Utdelningsportföljen;Sälj;SSAB B;-50;31;1550;SEK;0;;SEK;SE0000120669;
2017-02-03;Utdelningsportföljen;Sälj;GRÄNGES;-25;83,5;2088;SEK;0;;SEK;SE0006288015;
2017-02-03;Utdelningsportföljen;Köp;GRÄNGES;25;82,75;-2069;SEK;0;;SEK;SE0006288015;
2017-02-03;Utdelningsportföljen;Sälj;SSAB B;-50;30,85;1543;SEK;0;;SEK;SE0000120669;
2017-02-03;Utdelningsportföljen;Köp;SSAB B;50;30,66;-1533;SEK;0;;SEK;SE0000120669;
2017-02-02;Utdelningsportföljen;Köp;SSAB B;50;30,32;-1516;SEK;0;;SEK;SE0000120669;
2017-02-01;Utdelningsportföljen;Sälj;SSAB B;-50;30,39;1520;SEK;0;;SEK;SE0000120669;
2017-02-01;Utdelningsportföljen;Köp;SSAB B;50;29,91;-1496;SEK;0;;SEK;SE0000120669;
2017-01-31;Utdelningsportföljen;Sälj;SSAB B;-50;29,4;1470;SEK;0;;SEK;SE0000120669;
2017-01-31;Utdelningsportföljen;Köp;SSAB B;50;29,45;-1473;SEK;0;;SEK;SE0000120669;
2017-01-30;Utdelningsportföljen;Sälj;SSAB B;-100;29,75;2975;SEK;0;;SEK;SE0000120669;
2017-01-30;Utdelningsportföljen;Köp;SSAB B;100;30,5;-3050;SEK;0;;SEK;SE0000120669;
2017-01-30;Huvudkontot;Insättning;Överföring från Avanzakonto 3028640;;;900;SEK;0;;;;
2017-01-30;Utdelningsportföljen;Uttag;Överföring till Avanzakonto 4007528;;;-900;SEK;0;;;;
2017-01-30;Utdelningsportföljen;Insättning;Överföring från Collector 4163401;;;900;SEK;0;;;;
2017-01-27;Utdelningsportföljen;Sälj;SSAB B;-100;30,85;3085;SEK;0;;SEK;SE0000120669;
2017-01-27;Utdelningsportföljen;Köp;SSAB B;100;30,4;-3040;SEK;0;;SEK;SE0000120669;
2017-01-25;Utdelningsportföljen;Sälj;NEXSTIM OYJ;-740;2,19;1617;SEK;4;;SEK;FI4000102678;
2017-01-25;Utdelningsportföljen;Köp;NEXSTIM OYJ;740;2,11;-1565;SEK;4;;SEK;FI4000102678;
2017-01-25;Utdelningsportföljen;Sälj;SaltX Technology Holding B;-70;22,2;1550;SEK;4;;SEK;SE0005308541;
2017-01-25;Utdelningsportföljen;Sälj;SSAB B;-50;29,63;1482;SEK;0;;SEK;SE0000120669;
2017-01-25;Utdelningsportföljen;Köp;SSAB B;50;30,06;-1503;SEK;0;;SEK;SE0000120669;
2017-01-24;Utdelningsportföljen;Köp;SaltX Technology Holding B;70;21,8;-1530;SEK;4;;SEK;SE0005308541;
2017-01-24;Utdelningsportföljen;Sälj;SSAB B;-50;28,9;1445;SEK;0;;SEK;SE0000120669;
2017-01-24;Utdelningsportföljen;Köp;SSAB B;50;28,34;-1417;SEK;0;;SEK;SE0000120669;
2017-01-23;Utdelningsportföljen;Sälj;FINGERPRINT CARDS B;-20;55,5;1110;SEK;0;;SEK;SE0008374250;
2017-01-23;Utdelningsportföljen;Köp;FINGERPRINT CARDS B;20;55,8;-1116;SEK;0;;SEK;SE0008374250;
2017-01-23;Utdelningsportföljen;Sälj;IMINT IMAGE INTELLIG;-15;72,25;1065;SEK;19;;SEK;SE0007692124;
2017-01-23;Utdelningsportföljen;Köp;IMINT IMAGE INTELLIG;15;74;-1129;SEK;19;;SEK;SE0007692124;
2017-01-23;Utdelningsportföljen;Sälj;MYFC HOLDING;-60;19,2;1149;SEK;3;;SEK;SE0005505898;
2017-01-23;Utdelningsportföljen;Sälj;MYFC HOLDING;-60;19,8;1185;SEK;3;;SEK;SE0005505898;
2017-01-23;Utdelningsportföljen;Köp;MYFC HOLDING;60;19,6;-1179;SEK;3;;SEK;SE0005505898;
2017-01-23;Utdelningsportföljen;Köp;MYFC HOLDING;60;19,4;-1167;SEK;3;;SEK;SE0005505898;
2017-01-23;Utdelningsportföljen;Sälj;SaltX Technology Holding B;-100;19,5;1945;SEK;5;;SEK;SE0005308541;
2017-01-20;Utdelningsportföljen;Sälj;MYFC HOLDING;-60;19,8;1185;SEK;3;;SEK;SE0005505898;
2017-01-20;Utdelningsportföljen;Köp;MYFC HOLDING;60;20,1;-1209;SEK;3;;SEK;SE0005505898;
2017-01-17;Utdelningsportföljen;Sälj;AFRICA OIL;-55;18,69;1028;SEK;0;;SEK;CA00829Q1019;
2017-01-17;Utdelningsportföljen;Köp;AFRICA OIL;55;19,7;-1084;SEK;0;;SEK;CA00829Q1019;
2017-01-16;Utdelningsportföljen;Sälj;NEXSTIM OYJ;-500;2,63;1312;SEK;3;;SEK;FI4000102678;
2017-01-16;Utdelningsportföljen;Sälj;NEXSTIM OYJ;-400;2,77;1105;SEK;3;;SEK;FI4000102678;
2017-01-16;Utdelningsportföljen;Sälj;NEXSTIM OYJ;-400;2,8;1117;SEK;3;;SEK;FI4000102678;
2017-01-16;Utdelningsportföljen;Sälj;NEXSTIM OYJ;-400;2,9;1157;SEK;3;;SEK;FI4000102678;
2017-01-16;Utdelningsportföljen;Sälj;NEXSTIM OYJ;-400;2,85;1137;SEK;3;;SEK;FI4000102678;
2017-01-16;Utdelningsportföljen;Sälj;NEXSTIM OYJ;-400;2,49;994;SEK;2;;SEK;FI4000102678;
2017-01-16;Utdelningsportföljen;Köp;NEXSTIM OYJ;500;2,74;-1373;SEK;3;;SEK;FI4000102678;
2017-01-16;Utdelningsportföljen;Köp;NEXSTIM OYJ;400;2,74;-1099;SEK;3;;SEK;FI4000102678;
2017-01-16;Utdelningsportföljen;Köp;NEXSTIM OYJ;400;2,85;-1143;SEK;3;;SEK;FI4000102678;
2017-01-16;Utdelningsportföljen;Köp;NEXSTIM OYJ;400;2,85;-1143;SEK;3;;SEK;FI4000102678;
2017-01-16;Utdelningsportföljen;Köp;NEXSTIM OYJ;400;2,8;-1123;SEK;3;;SEK;FI4000102678;
2017-01-16;Utdelningsportföljen;Köp;NEXSTIM OYJ;400;2,46;-986;SEK;2;;SEK;FI4000102678;
2017-01-12;Utdelningsportföljen;Sälj;BOLIDEN;-2;253;506;SEK;0;;SEK;SE0000869646;
2017-01-12;Utdelningsportföljen;Sälj;FEELGOOD;-400;2,38;952;SEK;0;;SEK;SE0000381840;
2017-01-12;Utdelningsportföljen;Köp;FEELGOOD;400;2,35;-940;SEK;0;;SEK;SE0000381840;
2017-01-11;Utdelningsportföljen;Köp;BOLIDEN;2;251,4;-503;SEK;0;;SEK;SE0000869646;
2017-01-10;Utdelningsportföljen;Sälj;LUNDIN ENERGY;-7;194,6;1362;SEK;0;;SEK;SE0000825820;
2017-01-10;Utdelningsportföljen;Köp;LUNDIN ENERGY;7;193,9;-1357;SEK;0;;SEK;SE0000825820;
2017-01-04;Utdelningsportföljen;Köp;SaltX Technology Holding B;100;17,8;-1784;SEK;4;;SEK;SE0005308541;
2017-01-03;Utdelningsportföljen;Insättning;Direktinsättning från Handelsbanken;;;3000;SEK;0;;;;
2016-12-22;Utdelningsportföljen;Köp;Gapwaves B;140;13,95;-1958;SEK;5;;SEK;SE0009155518;
2016-12-21;Utdelningsportföljen;Sälj;HANSA BIOPHARMA AB;-18;117;2106;SEK;0;;SEK;SE0002148817;
2016-12-21;Utdelningsportföljen;Köp;HANSA BIOPHARMA AB;18;108;-1944;SEK;0;;SEK;SE0002148817;
2016-12-20;Utdelningsportföljen;Köp;Gapwaves B;128;15,7;-2015;SEK;5;;SEK;SE0009155518;
2016-12-16;Utdelningsportföljen;Sälj;MYFC HOLDING;-60;17,4;1041;SEK;3;;SEK;SE0005505898;
2016-12-13;Utdelningsportföljen;Insättning;Direktinsättning från Handelsbanken;;;3000;SEK;0;;;;
2016-12-12;Utdelningsportföljen;Köp;MYFC HOLDING;60;14,4;-866;SEK;2;;SEK;SE0005505898;
2016-12-07;Utdelningsportföljen;Sälj;MYFC HOLDING;-50;16,9;843;SEK;2;;SEK;SE0005505898;
2016-12-06;Utdelningsportföljen;Köp;MYFC HOLDING;20;19,2;-385;SEK;1;;SEK;SE0005505898;
2016-12-06;Utdelningsportföljen;Köp;MYFC HOLDING;30;21,2;-638;SEK;2;;SEK;SE0005505898;
2016-12-05;Utdelningsportföljen;Sälj;SaltX Technology Holding B;-50;13,3;663;SEK;2;;SEK;SE0005308541;
2016-12-02;Utdelningsportföljen;Köp;SaltX Technology Holding B;50;11;-551;SEK;1;;SEK;SE0005308541;
2016-11-29;Utdelningsportföljen;Sälj;H&M B;-3;267,5;803;SEK;0;;SEK;SE0000106270;
2016-11-18;Utdelningsportföljen;Köp;H&M B;3;269,9;-810;SEK;0;;SEK;SE0000106270;
2016-11-17;Utdelningsportföljen;Sälj;ASSA ABLOY B;-5;170,5;853;SEK;0;;SEK;SE0007100581;
2016-11-16;Utdelningsportföljen;Köp;ASSA ABLOY B;5;168,4;-881;SEK;39;;SEK;SE0007100581;
2016-11-01;Utdelningsportföljen;Insättning;Överföring från Avanzakonto 4007528;;;1000;SEK;0;;;;
2016-11-01;Huvudkontot;Uttag;Överföring till Avanzakonto 3028640;;;-1000;SEK;0;;;;
2016-04-14;Huvudkontot;Sälj;HANSA BIOPHARMA AB;-31;43,6;1313;SEK;39;;SEK;SE0002148817;
2015-11-30;Huvudkontot;Ränta;Skuldränta;;;-1,07;SEK;0;;;;
2015-04-13;Huvudkontot;Övrigt;HANSA MEDICAL TR 150317;-31;;;;0;;;SE0006887543;
2015-03-31;Huvudkontot;Ränta;Skuldränta;;;-1,01;SEK;0;;;;
2015-03-18;Huvudkontot;Övrigt;HANSA MEDICAL TR 150317;31;;;;0;;;SE0006887543;
2014-08-29;Huvudkontot;Ränta;Skuldränta;;;-1;SEK;0;;;;
2014-06-19;Huvudkontot;Övrigt;HANSA MEDICAL TR 140321;-31;;;;0;;;SE0005797347;
2014-03-24;Huvudkontot;Övrigt;HANSA MEDICAL TR 140321;31;;;;0;;;SE0005797347;
2014-01-29;Huvudkontot;Köp;HANSA BIOPHARMA AB;26;14,5;-416;SEK;39;;SEK;SE0002148817;
2014-01-29;Huvudkontot;Sälj;FASTILIUM PROPERTY    (F D CHRONTECH);-77;0,18;7;SEK;7;;SEK;SE0001831017;
2014-01-28;Huvudkontot;Insättning;Insättning SEED;;;500;SEK;0;;;;
2014-01-27;Huvudkontot;Sälj;HANSA BIOPHARMA AB;-5;17,5;49;SEK;39;;SEK;SE0002148817;
2014-01-27;Huvudkontot;Köp;HANSA BIOPHARMA AB;10;17,35;-213;SEK;39;;SEK;SE0002148817;
2014-01-27;Huvudkontot;Köp;FASTILIUM PROPERTY    (F D CHRONTECH);77;0,18;-53;SEK;39;;SEK;SE0001831017;
2014-01-27;Huvudkontot;Insättning;Insättning PENGAR;;;100;SEK;0;;;;
